,target_url,target_date,target_site,target_attributions,source_0,source_0_date,source_0_site,source_0_overlap,source_0_attributions,source_1,source_1_date,source_1_site,source_1_overlap,source_1_attributions,source_2,source_2_date,source_2_site,source_2_overlap,source_2_attributions,source_3,source_3_date,source_3_site,source_3_overlap,source_3_attributions,source_4,source_4_date,source_4_site,source_4_overlap,source_4_attributions,classification
29,https://www.standardmedia.co.ke/africa/article/2001458550/uganda-to-deploy-ebola-vaccine-in-two-weeks-says-who-official,2022-09-29,standardmedia.co.ke,,https://africa.cgtn.com/2022/10/19/uganda-to-deploy-ebola-vaccine-in-2-weeks-says-who-official,2022-10-19,africa.cgtn.com,0.7058823529411765,,,,,,,,,,,,,,,,,,,,,,unattributed
30,https://www.standardmedia.co.ke/health/index.php/football/article/2001461627/brazil-coach-tite-gives-neymar-injury-update,2022-11-25,standardmedia.co.ke,,http://english.news.cn/20221125/fbb7f2ca4f4c429d9c9056badc2d40dd/c.html,2022-11-25,english.news.cn,0.5714285714285714,Xinhua,,,,,,,,,,,,,,,,,,,,,unattributed
31,https://www.capitalfm.co.ke/business/2022/02/uneca-projects-free-trade-pact-to-boost-africas-transport-sector,2022-02-12,capitalfm.co.ke,XINHUA,https://africa.cgtn.com/2022/02/13/uneca-projects-free-trade-pact-to-boost-africas-transport-sector,2022-02-13,africa.cgtn.com,0.5185185185185185,,,,,,,,,,,,,,,,,,,,,,state-media
32,https://www.standardmedia.co.ke/testbed/branding-voice/article/2001460388/xi-addresses-ciie-calls-for-joint-efforts-for-bright-future-of-openness-prosperity,2022-11-04,standardmedia.co.ke,Xinhua,http://en.people.cn/n3/2022/1105/c90000-10167597.html,2022-11-05,en.people.cn,0.8214285714285714,Xinhua,https://english.news.cn/20221105/552150cb74d44de786e78b502158b5b7/c.html,2022-11-05,english.news.cn,0.8214285714285714,Xinhua,,,,,,,,,,,,,,,,state-media
33,https://www.standardmedia.co.ke/testbed/sports/football/article/2001458072/europa-league-mctominay-rescues-man-united-with-93rd-minute-winner-vs-omonia,2022-10-14,standardmedia.co.ke,,http://www.chinadaily.com.cn/a/202210/14/WS6348b72fa310fd2b29e7c65a.html,2022-10-14,chinadaily.com.cn,0.5454545454545454,,https://www.chinadaily.com.cn/a/202210/14/WS6348b72fa310fd2b29e7c65a.html,2022-10-14,chinadaily.com.cn,0.5454545454545454,,,,,,,,,,,,,,,,,unattributed
34,https://www.standardmedia.co.ke/testbed/sports/africa/article/2001458014/africa-on-its-own-little-help-in-epidemics-says-official,2022-10-13,standardmedia.co.ke,,https://africa.cgtn.com/2022/10/12/africa-on-its-own-little-help-in-epidemics-says-africa-cdc-official,2022-10-12,africa.cgtn.com,0.7647058823529411,,,,,,,,,,,,,,,,,,,,,,unattributed
35,https://www.standardmedia.co.ke/testbed/sports/football/article/2001461627/brazil-coach-tite-gives-neymar-injury-update,2022-11-25,standardmedia.co.ke,,http://english.news.cn/20221125/fbb7f2ca4f4c429d9c9056badc2d40dd/c.html,2022-11-25,english.news.cn,0.6666666666666666,Xinhua,,,,,,,,,,,,,,,,,,,,,unattributed
36,https://www.standardmedia.co.ke/testbed/sports/branding-voice/article/2001460820/chinas-vision-of-global-governance-for-addressing-common-challenges,2022-11-13,standardmedia.co.ke,,http://www.chinadaily.com.cn/a/202211/14/WS63722bb2a310491754329a15.html,2022-11-14,chinadaily.com.cn,0.7714285714285715,Xinhua,http://en.people.cn/n3/2022/1114/c90000-10171061.html,2022-11-14,en.people.cn,0.8,Xinhua,https://www.chinadaily.com.cn/a/202211/14/WS63722bb2a310491754329a15.html,2022-11-14,chinadaily.com.cn,0.7714285714285715,Xinhua,,,,,,,,,,,unattributed
37,https://www.standardmedia.co.ke/business/branding-voice/article/2001457523/foreign-officials-experts-wish-20th-cpc-national-congress-success-during-celebrations-of-chinas-national-day,2022-10-07,standardmedia.co.ke,,http://en.people.cn/n3/2022/1003/c90000-10154540.html,2022-10-03,en.people.cn,0.8571428571428571,Xinhua,http://www.ecns.cn/news/2022-10-03/detail-ihcepfvq8476728.shtml,2022-10-03,ecns.cn,0.7142857142857143,Xinhua,,,,,,,,,,,,,,,,unattributed
38,https://www.standardmedia.co.ke/branding-voice/article/2001457523/foreign-officials-experts-wish-20th-cpc-national-congress-success-during-celebrations-of-chinas-national-day,2022-10-01,standardmedia.co.ke,Xinhua,http://en.people.cn/n3/2022/1003/c90000-10154540.html,2022-10-03,en.people.cn,0.782608695652174,Xinhua,http://www.ecns.cn/news/2022-10-03/detail-ihcepfvq8476728.shtml,2022-10-03,ecns.cn,0.6521739130434783,Xinhua,,,,,,,,,,,,,,,,state-media
40,https://www.standardmedia.co.ke/testbed/sports/football/article/2001459153/barcelona-out-of-champions-league-even-before-3-0-loss-to-bayern,2022-10-27,standardmedia.co.ke,,https://www.chinadaily.com.cn/a/202210/28/WS635b3202a310fd2b29e7f021.html,2022-10-28,chinadaily.com.cn,0.7272727272727273,,http://www.chinadaily.com.cn/a/202210/28/WS635b3202a310fd2b29e7f021.html,2022-10-28,chinadaily.com.cn,0.7272727272727273,,,,,,,,,,,,,,,,,unattributed
41,https://www.standardmedia.co.ke/testbed/sports/football/article/2001460670/ronaldos-future-at-man-united-after-explosive-tv-interview-with-piers-morgan,2022-11-15,standardmedia.co.ke,,https://www.chinadaily.com.cn/a/202211/16/WS637436c7a310491754329f4d.html,2022-11-16,chinadaily.com.cn,0.8787878787878788,,http://www.chinadaily.com.cn/a/202211/16/WS637436c7a310491754329f4d.html,2022-11-16,chinadaily.com.cn,0.8787878787878788,,,,,,,,,,,,,,,,,unattributed
42,https://www.standardmedia.co.ke/testbed/sports/football/article/2001461335/blame-me-for-defeat-to-netherlands-says-senegal-coach-aliou-cisse,2022-11-22,standardmedia.co.ke,,http://english.news.cn/20221122/62d160d7e71845e69ff6459908989482/c.html,2022-11-22,english.news.cn,0.6923076923076923,Xinhua,,,,,,,,,,,,,,,,,,,,,unattributed
43,https://www.standardmedia.co.ke/testbed/sports/branding-voice/article/2001457523/foreign-officials-experts-wish-20th-cpc-national-congress-success-during-celebrations-of-chinas-national-day,2022-10-07,standardmedia.co.ke,,http://en.people.cn/n3/2022/1003/c90000-10154540.html,2022-10-03,en.people.cn,0.8571428571428571,Xinhua,http://www.ecns.cn/news/2022-10-03/detail-ihcepfvq8476728.shtml,2022-10-03,ecns.cn,0.7142857142857143,Xinhua,,,,,,,,,,,,,,,,unattributed
44,https://www.standardmedia.co.ke/health/football/article/2001461513/tonight-at-7pm-ronaldo-not-a-distraction-says-portugal-coach-santos,2022-11-24,standardmedia.co.ke,,http://english.news.cn/20221124/7aaaec6dd2844651acd5a6922f85d7c7/c.html,2022-11-24,english.news.cn,0.5454545454545454,Xinhua,,,,,,,,,,,,,,,,,,,,,unattributed
45,https://www.standardmedia.co.ke/testbed/business/branding-voice/article/2001459108/profile-xi-jinping-leads-china-on-new-journey,2022-10-26,standardmedia.co.ke,,http://en.people.cn/n3/2022/1025/c90000-10162944.html,2022-10-25,en.people.cn,0.8279569892473119,Xinhua,https://english.news.cn/20221025/97bce6c7614242f5a6e0c3ecf5e837ee/c.html,2022-10-25,english.news.cn,0.8279569892473119,Xinhua,https://www.chinadaily.com.cn/a/202210/25/WS63573222a310fd2b29e7e505.html,2022-10-25,chinadaily.com.cn,0.7849462365591398,Xinhua,http://www.chinadaily.com.cn/a/202210/25/WS63573222a310fd2b29e7e505.html,2022-10-25,chinadaily.com.cn,0.7849462365591398,Xinhua,https://english.news.cn/20221025/385587f560a74705b6a7eb6db49c7f41/c.html,2022-10-25,english.news.cn,0.8279569892473119,Xinhua,unattributed
46,https://www.capitalfm.co.ke/news/2022/10/plenum-makes-full-preparation-for-20th-cpc-national-congress,2022-10-13,capitalfm.co.ke,CGTN,http://www.ecns.cn/news/politics/2022-10-13/detail-ihcevwpn9258051.shtml,2022-10-13,ecns.cn,0.5714285714285714,Xinhua,http://en.people.cn/n3/2022/1013/c90000-10157574.html,2022-10-13,en.people.cn,0.5428571428571428,Xinhua,,,,,,,,,,,,,,,,state-media
47,https://www.standardmedia.co.ke/branding-voice/article/2001462182/africa-urges-climate-actions-rather-than-broken-promises-double-standard,2022-11-20,standardmedia.co.ke,Xinhua,http://en.people.cn/n3/2022/1128/c90000-10176848.html,2022-11-28,en.people.cn,0.8717948717948718,Xinhua,,,,,,,,,,,,,,,,,,,,,state-media
