target_url,target_date,target_site,target_attributions,source_0,source_0_date,source_0_site,source_0_overlap,source_0_attributions,source_1,source_1_date,source_1_site,source_1_overlap,source_1_attributions,source_2,source_2_date,source_2_site,source_2_overlap,source_2_attributions,source_3,source_3_date,source_3_site,source_3_overlap,source_3_attributions,source_4,source_4_date,source_4_site,source_4_overlap,source_4_attributions,source_5,source_5_date,source_5_site,source_5_overlap,source_5_attributions,source_6,source_6_date,source_6_site,source_6_overlap,source_6_attributions,classification
https://newsghana.com.gh/beijing-winter-olympics-vivid-example-of-how-people-around-the-world-support-each-other-in-pursuing-dreams,2022-02-23,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0223/c90000-9961734.html,2022-02-23,en.people.cn,0.7407407407407407,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/china-sees-prospering-development-of-pocket-parks,2022-06-08,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0608/c90000-10106920.html,2022-06-08,en.people.cn,0.7142857142857143,People's Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://www.ghanaiantimes.com.gh/who-to-decide-whether-monkeypox-represents-public-health-emergency,2022-06-16,ghanaiantimes.com.gh,,http://www.ecns.cn/news/2022-06-15/detail-ihaziuqy8688549.shtml,2022-06-15,ecns.cn,0.875,Xinhua,http://en.people.cn/n3/2022/0615/c90000-10109796.html,2022-06-15,en.people.cn,0.875,Xinhua,,,,,,,,,,,,,,,,,,,,,,,,,,unattributed
https://www.ghanaiantimes.com.gh/canadian-police-claim-ottawa-200-trucker-rally-protesters-arrested,2022-02-22,ghanaiantimes.com.gh,,http://www.ecns.cn/news/2022-02-21/detail-ihavwrts3793837.shtml,2022-02-21,ecns.cn,0.8333333333333334,Xinhua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unattributed
https://newsghana.com.gh/starting-point-of-ancient-maritime-silk-road-in-se-china-regains-energy,2022-11-15,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1115/c90000-10171263.html,2022-11-15,en.people.cn,0.75,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/china-celebrates-fifth-chinese-farmers-harvest-festival,2022-09-27,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0927/c90000-10152109.html,2022-09-27,en.people.cn,0.7727272727272727,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/chinese-researchers-fighting-desertification-create-botanical-garden-in-desert,2022-05-10,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0509/c90000-10093892.html,2022-05-09,en.people.cn,0.7777777777777778,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/business-people-from-taiwan-play-active-part-in-development-of-hainan-province,2022-04-26,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0426/c90000-10089280.html,2022-04-26,en.people.cn,0.782608695652174,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/china-thailand-to-enrich-connotation-of-their-family-like-relations,2022-11-23,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1122/c90000-10174942.html,2022-11-22,en.people.cn,0.8,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
https://newsghana.com.gh/china-proposed-global-security-initiative-to-forge-a-strong-synergy-to-build-a-community-with-a-shared-future-for-mankind,2022-11-04,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/1104/c90000-10167189.html,2022-11-04,en.people.cn,0.7666666666666667,People's Daily Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state-media
