target_url,target_date,target_site,target_attributions,source_0,source_0_date,source_0_site,source_0_overlap,source_0_attributions,source_1,source_1_date,source_1_site,source_1_overlap,source_1_attributions,source_2,source_2_date,source_2_site,source_2_overlap,source_2_attributions,source_3,source_3_date,source_3_site,source_3_overlap,source_3_attributions,source_4,source_4_date,source_4_site,source_4_overlap,source_4_attributions,classification,country,source_5,source_5_date,source_5_site,source_5_overlap,source_5_attributions,source_6,source_6_date,source_6_site,source_6_overlap,source_6_attributions,Country
https://newsghana.com.gh/chinese-women-enjoy-fairer-social-environment-and-more-colorful-life-in-new-era,2022-03-11,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0310/c90000-9969101.html,2022-03-10,en.people.cn,0.7777777777777778,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://dailyguidenetwork.com/kenya-has-a-new-president-william-ruto,2022-08-16,dailyguidenetwork.com,,http://www.chinadaily.com.cn/a/202208/16/WS62fa739ea310fd2b29e724ca.html,2022-08-16,chinadaily.com.cn,0.5,Xinhua,https://www.chinadaily.com.cn/a/202208/16/WS62fa739ea310fd2b29e724ca.html,2022-08-16,chinadaily.com.cn,0.5,Xinhua,,,,,,,,,,,,,,,,unattributed,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/wetland-in-tianjin-sees-improved-environment-for-bird-species,2022-07-13,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0713/c90000-10122419.html,2022-07-13,en.people.cn,0.782608695652174,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/factory-turned-culture-parks-accelerate-beijings-urban-renewal,2022-07-07,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0707/c90000-10120092.html,2022-07-07,en.people.cn,0.75,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/how-china-along-with-other-brics-nations-turns-aspirations-for-common-development-into-reality,2022-06-27,newsghana.com.gh,Xinhua,http://en.people.cn/n3/2022/0626/c90000-10115020.html,2022-06-26,en.people.cn,0.7555555555555555,Xinhua,https://english.news.cn/20220625/e84675b87d554f53b1e4c969a45bc6db/c.html,2022-06-25,english.news.cn,0.7555555555555555,Xinhua,https://english.news.cn/20220625/3502e9fd7b2647b4965bc5f8ec447b94/c.html,2022-06-25,english.news.cn,0.8444444444444444,Xinhua,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/beijing-sees-remarkable-progress-in-ecological-construction,2022-09-01,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0901/c90000-10142396.html,2022-09-01,en.people.cn,0.7727272727272727,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/chinese-vaccines-boost-global-cooperation-against-covid-19,2022-06-15,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0615/c90000-10109824.html,2022-06-15,en.people.cn,0.8275862068965517,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/trend-of-stable-economic-performance-remains-unchanged-in-china,2022-05-18,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0518/c90000-10098047.html,2022-05-18,en.people.cn,0.8214285714285714,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/china-charts-route-to-urbanization-with-focus-on-county-towns,2022-05-12,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0512/c90000-10095522.html,2022-05-12,en.people.cn,0.782608695652174,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/russia-ukraine-conflict-wreaks-havoc-on-african-economies-expert,2022-04-15,newsghana.com.gh,Xinhua,http://en.people.cn/n3/2022/0415/c90000-10084439.html,2022-04-15,en.people.cn,0.5294117647058824,Xinhua,http://en.people.cn/n3/2022/0415/c90000-10084467.html,2022-04-15,en.people.cn,0.5294117647058824,Xinhua,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/ordos-in-n-china-promotes-intelligent-coal-mining,2022-08-04,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0802/c90000-10129985.html,2022-08-02,en.people.cn,0.7391304347826086,People's Daily,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/xis-state-visit-to-kazakhstan-a-boost-to-common-development,2022-09-16,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0916/c90000-10147761.html,2022-09-16,en.people.cn,0.8275862068965517,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/chinas-tianwen-1-orbiter-beams-back-high-resolution-images-of-zhurong-rovers-inspection-area-on-mars,2022-03-29,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0329/c90000-10077054.html,2022-03-29,en.people.cn,0.7142857142857143,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/global-security-initiative-offers-chinas-solution-to-safeguarding-global-security-and-peace,2022-06-07,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0607/c90000-10106565.html,2022-06-07,en.people.cn,0.8,People's Daily Original,https://www.chinadaily.com.cn/a/202206/07/WS629f03d1a310fd2b29e61335.html,2022-06-07,chinadaily.com.cn,0.76,People's Daily Online,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/china-africa-work-to-build-security-community,2022-07-29,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0729/c90000-10128883.html,2022-07-29,en.people.cn,0.7916666666666666,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/district-in-chinas-tianjin-to-appoint-tree-chiefs-for-ancient-trees-protection,2022-05-24,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0524/c90000-10100511.html,2022-05-24,en.people.cn,0.8,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/chinas-foreign-trade-hits-us6-05-trillion-for-first-time,2022-01-19,newsghana.com.gh,People's Daily,http://en.people.cn/n3/2022/0119/c90000-9946709.html,2022-01-19,en.people.cn,0.8076923076923077,People's Daily Original,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
https://newsghana.com.gh/west-africa-nears-local-vaccine-production-waho,2022-05-14,newsghana.com.gh,Xinhua,https://africa.cgtn.com/2022/05/14/west-africa-nears-local-vaccine-production-official,2022-05-14,africa.cgtn.com,0.5,,,,,,,,,,,,,,,,,,,,,,state-media,Ghana,,,,,,,,,,,Ghana
